0000    17-04-2017 15:53:40    Clear Log             
0046    17-04-2017 20:51:40    Log Out               admin<Web:0.0.0.0>
0047    17-04-2017 20:52:13    Log In                admin<Web:0.0.0.0>
0048    17-04-2017 20:52:14    Log Out               admin<Web:0.0.0.0>
0049    17-04-2017 20:54:00    Log In                admin<Web:0.0.0.0>
0050    17-04-2017 20:54:01    Log Out               admin<Web:0.0.0.0>
0051    17-04-2017 20:54:31    Log In                admin<Web:0.0.0.0>
0052    17-04-2017 20:54:32    Log Out               admin<Web:0.0.0.0>
0053    17-04-2017 20:55:15    Log In                admin<Web:0.0.0.0>
0054    17-04-2017 20:55:16    Log Out               admin<Web:0.0.0.0>
0055    17-04-2017 20:55:48    Save Configuration    Motion Detect
0056    17-04-2017 20:56:34    Log In                admin<Web:0.0.0.0>
0057    17-04-2017 20:56:35    Log Out               admin<Web:0.0.0.0>
0058    17-04-2017 20:56:52    Log In                admin<Web:0.0.0.0>
0059    17-04-2017 20:56:53    Log Out               admin<Web:0.0.0.0>
0060    17-04-2017 20:58:57    Save Configuration    Motion Detect
0061    17-04-2017 21:02:41    Log In                admin<Web:0.0.0.0>
0062    17-04-2017 21:02:42    Log Out               admin<Web:0.0.0.0>
0063    17-04-2017 21:04:32    Log In                admin<Web:0.0.0.0>
0064    17-04-2017 21:04:33    Log Out               admin<Web:0.0.0.0>
0065    17-04-2017 21:05:29    Log In                admin<Web:0.0.0.0>
0066    17-04-2017 21:05:30    Log Out               admin<Web:0.0.0.0>
0067    17-04-2017 21:06:01    Log In                admin<Web:0.0.0.0>
0068    17-04-2017 21:06:02    Log Out               admin<Web:0.0.0.0>
0069    17-04-2017 21:06:59    Save Configuration    Motion Detect
0070    17-04-2017 21:07:08    Alarm Start           Motion Detect, Channel 4
0071    17-04-2017 21:07:09    Alarm Stop            Motion Detect, Channel 4
0072    17-04-2017 21:07:25    Alarm Start           Motion Detect, Channel 4
0073    17-04-2017 21:07:25    Alarm Stop            Motion Detect, Channel 4
0074    17-04-2017 21:07:27    Alarm Start           Motion Detect, Channel 4
0075    17-04-2017 21:07:27    Alarm Stop            Motion Detect, Channel 4
0076    17-04-2017 21:07:50    Alarm Start           Motion Detect, Channel 4
0077    17-04-2017 21:07:50    Alarm Stop            Motion Detect, Channel 4
0078    17-04-2017 21:08:00    Alarm Start           Motion Detect, Channel 4
0079    17-04-2017 21:08:00    Alarm Stop            Motion Detect, Channel 4
0080    17-04-2017 21:08:16    Alarm Start           Motion Detect, Channel 4
0081    17-04-2017 21:08:16    Alarm Stop            Motion Detect, Channel 4
0082    17-04-2017 21:10:59    Export log            A9EE03BCACFAD8BF0BE538BF30E17E0E(English)
0083    17-04-2017 21:11:02    Log In                admin<Web:0.0.0.0>
0084    17-04-2017 21:11:03    Log Out               admin<Web:0.0.0.0>
0085    17-04-2017 21:11:33    Log In                admin<Web:0.0.0.0>
0086    17-04-2017 21:11:34    Log Out               admin<Web:0.0.0.0>
0087    17-04-2017 21:11:55    Alarm Start           Motion Detect, Channel 4
0088    17-04-2017 21:11:55    Alarm Stop            Motion Detect, Channel 4
0089    17-04-2017 21:12:17    Alarm Start           Motion Detect, Channel 4
0090    17-04-2017 21:12:18    Alarm Stop            Motion Detect, Channel 4
0091    17-04-2017 21:12:36    Export log            6D6C5B5CD776FEA0694B986F4FC514F5(English)
0092    17-04-2017 21:12:40    Log In                admin<Web:0.0.0.0>
0093    17-04-2017 21:12:41    Log Out               admin<Web:0.0.0.0>
0094    17-04-2017 21:12:43    Alarm Start           Motion Detect, Channel 4
0095    17-04-2017 21:12:43    Alarm Stop            Motion Detect, Channel 4
0096    17-04-2017 21:13:28    Log In                admin<Web:0.0.0.0>
0097    17-04-2017 21:13:29    Log Out               admin<Web:0.0.0.0>
0098    17-04-2017 21:14:03    Log In                admin<Web:0.0.0.0>
0099    17-04-2017 21:14:04    Log Out               admin<Web:0.0.0.0>
0100    17-04-2017 21:14:13    Alarm Start           Motion Detect, Channel 4
0101    17-04-2017 21:14:14    Alarm Stop            Motion Detect, Channel 4
0102    17-04-2017 21:14:24    Alarm Start           Motion Detect, Channel 4
0103    17-04-2017 21:14:24    Alarm Stop            Motion Detect, Channel 4
0104    17-04-2017 21:14:25    Alarm Start           Motion Detect, Channel 2
0105    17-04-2017 21:14:25    Log In                admin<Web:0.0.0.0>
0106    17-04-2017 21:14:25    Alarm Start           Motion Detect, Channel 3
0107    17-04-2017 21:14:26    Alarm Stop            Motion Detect, Channel 3
0108    17-04-2017 21:14:26    Log Out               admin<Web:0.0.0.0>
0109    17-04-2017 21:14:29    Alarm Stop            Motion Detect, Channel 2
0110    17-04-2017 21:14:38    Alarm Start           Motion Detect, Channel 4
0111    17-04-2017 21:14:38    Alarm Stop            Motion Detect, Channel 4
0112    17-04-2017 21:15:07    Alarm Start           Motion Detect, Channel 4
0113    17-04-2017 21:15:08    Alarm Stop            Motion Detect, Channel 4
0114    17-04-2017 21:15:11    Alarm Start           Motion Detect, Channel 4
0115    17-04-2017 21:15:12    Alarm Stop            Motion Detect, Channel 4
0116    17-04-2017 21:15:21    Log In                admin<Web:0.0.0.0>
0117    17-04-2017 21:15:22    Log Out               admin<Web:0.0.0.0>
0118    17-04-2017 21:16:30    Alarm Start           Motion Detect, Channel 4
0119    17-04-2017 21:16:30    Alarm Stop            Motion Detect, Channel 4
0120    17-04-2017 21:16:34    Alarm Start           Motion Detect, Channel 4
0121    17-04-2017 21:16:35    Alarm Stop            Motion Detect, Channel 4
0122    17-04-2017 21:16:48    Alarm Start           Motion Detect, Channel 4
0123    17-04-2017 21:16:49    Alarm Stop            Motion Detect, Channel 4
0124    17-04-2017 21:17:08    Alarm Start           Motion Detect, Channel 4
0125    17-04-2017 21:17:08    Alarm Stop            Motion Detect, Channel 4
0126    17-04-2017 21:17:25    Alarm Start           Motion Detect, Channel 4
0127    17-04-2017 21:17:26    Alarm Stop            Motion Detect, Channel 4
0128    17-04-2017 21:17:33    Alarm Start           Motion Detect, Channel 4
0129    17-04-2017 21:17:33    Alarm Stop            Motion Detect, Channel 4
0130    17-04-2017 21:17:47    Alarm Start           Motion Detect, Channel 4
0131    17-04-2017 21:17:47    Alarm Stop            Motion Detect, Channel 4
0132    17-04-2017 21:19:10    Alarm Start           Motion Detect, Channel 4
0133    17-04-2017 21:19:10    Alarm Stop            Motion Detect, Channel 4
0134    17-04-2017 21:19:14    Alarm Start           Motion Detect, Channel 4
0135    17-04-2017 21:19:15    Alarm Stop            Motion Detect, Channel 4
0136    17-04-2017 21:20:27    Alarm Start           Motion Detect, Channel 4
0137    17-04-2017 21:20:28    Alarm Stop            Motion Detect, Channel 4
0138    17-04-2017 21:21:16    Log In                admin<Web:0.0.0.0>
0139    17-04-2017 21:21:17    Log Out               admin<Web:0.0.0.0>
0140    17-04-2017 21:21:33    Alarm Start           Motion Detect, Channel 3
0141    17-04-2017 21:21:34    Alarm Stop            Motion Detect, Channel 3
0142    17-04-2017 21:21:35    Log In                admin<Web:0.0.0.0>
0143    17-04-2017 21:21:36    Alarm Start           Motion Detect, Channel 2
0144    17-04-2017 21:21:37    Log Out               admin<Web:0.0.0.0>
0145    17-04-2017 21:21:37    Alarm Start           Motion Detect, Channel 3
0146    17-04-2017 21:21:38    Alarm Stop            Motion Detect, Channel 3
0147    17-04-2017 21:21:41    Alarm Stop            Motion Detect, Channel 2
0148    17-04-2017 21:21:51    Log In                admin<Web:0.0.0.0>
0149    17-04-2017 21:21:52    Log Out               admin<Web:0.0.0.0>
0150    17-04-2017 21:22:06    Log In                admin<Web:0.0.0.0>
0151    17-04-2017 21:22:07    Log Out               admin<Web:0.0.0.0>
0152    17-04-2017 21:22:16    Alarm Start           Motion Detect, Channel 3
0153    17-04-2017 21:22:17    Alarm Stop            Motion Detect, Channel 3
0154    17-04-2017 21:22:18    Alarm Start           Motion Detect, Channel 2
0155    17-04-2017 21:22:18    Alarm Start           Motion Detect, Channel 3
0156    17-04-2017 21:22:19    Alarm Stop            Motion Detect, Channel 3
0157    17-04-2017 21:22:20    Alarm Stop            Motion Detect, Channel 2
0158    17-04-2017 21:22:21    Log In                admin<Web:0.0.0.0>
0159    17-04-2017 21:22:22    Log Out               admin<Web:0.0.0.0>
0160    17-04-2017 21:22:56    Log In                admin<Web:0.0.0.0>
0161    17-04-2017 21:22:57    Log Out               admin<Web:0.0.0.0>
0162    17-04-2017 21:26:22    Alarm Start           Motion Detect, Channel 4
0163    17-04-2017 21:26:23    Alarm Stop            Motion Detect, Channel 4
0164    17-04-2017 21:26:33    Alarm Start           Motion Detect, Channel 3
0165    17-04-2017 21:26:34    Alarm Stop            Motion Detect, Channel 3
0166    17-04-2017 21:26:41    Log In                admin<Web:0.0.0.0>
0167    17-04-2017 21:26:42    Log Out               admin<Web:0.0.0.0>
0168    17-04-2017 21:27:25    Log In                admin<Web:0.0.0.0>
0169    17-04-2017 21:27:26    Log Out               admin<Web:0.0.0.0>
0170    17-04-2017 21:27:46    Alarm Start           Motion Detect, Channel 4
0171    17-04-2017 21:27:47    Alarm Stop            Motion Detect, Channel 4
0172    17-04-2017 21:28:15    Alarm Start           Motion Detect, Channel 4
0173    17-04-2017 21:28:16    Alarm Stop            Motion Detect, Channel 4
0174    17-04-2017 21:28:18    Alarm Start           Motion Detect, Channel 4
0175    17-04-2017 21:28:18    Alarm Stop            Motion Detect, Channel 4
0176    17-04-2017 21:28:20    Alarm Start           Motion Detect, Channel 4
0177    17-04-2017 21:28:21    Alarm Stop            Motion Detect, Channel 4
0178    17-04-2017 21:28:23    Alarm Start           Motion Detect, Channel 4
0179    17-04-2017 21:28:23    Alarm Stop            Motion Detect, Channel 4
0180    17-04-2017 21:28:26    Alarm Start           Motion Detect, Channel 4
0181    17-04-2017 21:28:27    Alarm Stop            Motion Detect, Channel 4
0182    17-04-2017 21:28:30    Alarm Start           Motion Detect, Channel 4
0183    17-04-2017 21:28:30    Alarm Stop            Motion Detect, Channel 4
0184    17-04-2017 21:28:34    Alarm Start           Motion Detect, Channel 4
0185    17-04-2017 21:28:35    Alarm Stop            Motion Detect, Channel 4
0186    17-04-2017 21:28:39    Alarm Start           Motion Detect, Channel 4
0187    17-04-2017 21:28:40    Alarm Stop            Motion Detect, Channel 4
0188    17-04-2017 21:28:41    Alarm Start           Motion Detect, Channel 4
0189    17-04-2017 21:28:43    Alarm Stop            Motion Detect, Channel 4
0190    17-04-2017 21:28:44    Alarm Start           Motion Detect, Channel 4
0191    17-04-2017 21:28:44    Alarm Stop            Motion Detect, Channel 4
0192    17-04-2017 21:28:46    Alarm Start           Motion Detect, Channel 4
0193    17-04-2017 21:28:47    Alarm Stop            Motion Detect, Channel 4
0194    17-04-2017 21:28:59    Alarm Start           Motion Detect, Channel 4
0195    17-04-2017 21:28:59    Alarm Stop            Motion Detect, Channel 4
0196    17-04-2017 21:29:01    Alarm Start           Motion Detect, Channel 4
0197    17-04-2017 21:29:02    Alarm Stop            Motion Detect, Channel 4
0198    17-04-2017 21:29:04    Alarm Start           Motion Detect, Channel 4
0199    17-04-2017 21:29:05    Alarm Stop            Motion Detect, Channel 4
0200    17-04-2017 21:29:07    Alarm Start           Motion Detect, Channel 4
0201    17-04-2017 21:29:07    Alarm Stop            Motion Detect, Channel 4
0202    17-04-2017 21:29:10    Alarm Start           Motion Detect, Channel 4
0203    17-04-2017 21:29:11    Alarm Stop            Motion Detect, Channel 4
0204    17-04-2017 21:29:26    Alarm Start           Motion Detect, Channel 4
0205    17-04-2017 21:29:27    Alarm Stop            Motion Detect, Channel 4
0206    17-04-2017 21:29:32    Alarm Start           Motion Detect, Channel 4
0207    17-04-2017 21:29:33    Alarm Stop            Motion Detect, Channel 4
0208    17-04-2017 21:29:48    Alarm Start           Motion Detect, Channel 4
0209    17-04-2017 21:29:48    Alarm Stop            Motion Detect, Channel 4
0210    17-04-2017 21:29:50    Alarm Start           Motion Detect, Channel 4
0211    17-04-2017 21:29:50    Alarm Stop            Motion Detect, Channel 4
0212    17-04-2017 21:29:54    Alarm Start           Motion Detect, Channel 4
0213    17-04-2017 21:29:54    Alarm Stop            Motion Detect, Channel 4
0214    17-04-2017 21:30:02    Alarm Start           Motion Detect, Channel 4
0215    17-04-2017 21:30:02    Alarm Stop            Motion Detect, Channel 4
0216    17-04-2017 21:30:07    Alarm Start           Motion Detect, Channel 4
0217    17-04-2017 21:30:07    Alarm Stop            Motion Detect, Channel 4
0218    17-04-2017 21:30:22    Alarm Start           Motion Detect, Channel 4
0219    17-04-2017 21:30:23    Alarm Stop            Motion Detect, Channel 4
0220    17-04-2017 21:30:28    Alarm Start           Motion Detect, Channel 4
0221    17-04-2017 21:30:29    Alarm Stop            Motion Detect, Channel 4
0222    17-04-2017 21:30:46    Alarm Start           Motion Detect, Channel 4
0223    17-04-2017 21:30:47    Alarm Stop            Motion Detect, Channel 4
0224    17-04-2017 21:31:00    Alarm Start           Motion Detect, Channel 4
0225    17-04-2017 21:31:01    Alarm Stop            Motion Detect, Channel 4
0226    17-04-2017 21:31:03    Alarm Start           Motion Detect, Channel 4
0227    17-04-2017 21:31:03    Alarm Stop            Motion Detect, Channel 4
0228    17-04-2017 21:31:41    Alarm Start           Motion Detect, Channel 2
0229    17-04-2017 21:31:43    Alarm Stop            Motion Detect, Channel 2
0230    17-04-2017 21:31:52    Alarm Start           Motion Detect, Channel 4
0231    17-04-2017 21:31:52    Alarm Stop            Motion Detect, Channel 4
0232    17-04-2017 21:32:21    Alarm Start           Motion Detect, Channel 4
0233    17-04-2017 21:32:21    Alarm Stop            Motion Detect, Channel 4
0234    17-04-2017 21:32:37    Alarm Start           Motion Detect, Channel 4
0235    17-04-2017 21:32:38    Alarm Stop            Motion Detect, Channel 4
0236    17-04-2017 21:33:38    Alarm Start           Motion Detect, Channel 3
0237    17-04-2017 21:33:39    Alarm Stop            Motion Detect, Channel 3
0238    17-04-2017 21:33:41    Alarm Start           Motion Detect, Channel 2
0239    17-04-2017 21:33:41    Alarm Stop            Motion Detect, Channel 2
0240    17-04-2017 21:33:43    Alarm Start           Motion Detect, Channel 2
0241    17-04-2017 21:33:43    Alarm Stop            Motion Detect, Channel 2
0242    17-04-2017 21:33:45    Alarm Start           Motion Detect, Channel 3
0243    17-04-2017 21:33:46    Alarm Stop            Motion Detect, Channel 3
0244    17-04-2017 21:36:42    Log In                admin<Web:0.0.0.0>
0245    17-04-2017 21:36:43    Log Out               admin<Web:0.0.0.0>
0246    17-04-2017 21:37:18    Export log            EEA79ED5D009FEF1393656C33AB6C3C3(English)
0247    17-04-2017 21:37:25    Log Out               admin<Web:0.0.0.0>
0248    17-04-2017 21:43:04    Alarm Start           Motion Detect, Channel 2
0249    17-04-2017 21:43:04    Alarm Start           Motion Detect, Channel 3
0250    17-04-2017 21:43:04    Alarm Stop            Motion Detect, Channel 2
0251    17-04-2017 21:43:04    Alarm Stop            Motion Detect, Channel 3
0252    17-04-2017 21:43:06    Alarm Start           Motion Detect, Channel 2
0253    17-04-2017 21:43:08    Alarm Stop            Motion Detect, Channel 2
0254    17-04-2017 21:43:09    Alarm Start           Motion Detect, Channel 1
0255    17-04-2017 21:43:10    Alarm Stop            Motion Detect, Channel 1
0256    17-04-2017 21:43:11    Alarm Start           Motion Detect, Channel 3
0257    17-04-2017 21:43:11    Alarm Stop            Motion Detect, Channel 3
0258    17-04-2017 21:43:19    Alarm Start           Motion Detect, Channel 3
0259    17-04-2017 21:43:19    Alarm Start           Motion Detect, Channel 1
0260    17-04-2017 21:43:19    Alarm Stop            Motion Detect, Channel 3
0261    17-04-2017 21:43:20    Alarm Stop            Motion Detect, Channel 1
0262    17-04-2017 21:43:20    Alarm Start           Motion Detect, Channel 2
0263    17-04-2017 21:43:21    Alarm Start           Motion Detect, Channel 3
0264    17-04-2017 21:43:21    Alarm Stop            Motion Detect, Channel 3
0265    17-04-2017 21:43:22    Alarm Stop            Motion Detect, Channel 2
0266    17-04-2017 21:44:06    Alarm Start           Motion Detect, Channel 3
0267    17-04-2017 21:44:06    Alarm Stop            Motion Detect, Channel 3
0268    17-04-2017 21:44:07    Alarm Start           Motion Detect, Channel 2
0269    17-04-2017 21:44:07    Alarm Stop            Motion Detect, Channel 2
0270    17-04-2017 21:44:09    Alarm Start           Motion Detect, Channel 2
0271    17-04-2017 21:44:09    Alarm Stop            Motion Detect, Channel 2
0272    17-04-2017 21:44:10    Alarm Start           Motion Detect, Channel 3
0273    17-04-2017 21:44:10    Alarm Stop            Motion Detect, Channel 3
0274    17-04-2017 21:46:44    Alarm Start           Motion Detect, Channel 3
0275    17-04-2017 21:46:44    Alarm Start           Motion Detect, Channel 2
0276    17-04-2017 21:46:44    Alarm Stop            Motion Detect, Channel 3
0277    17-04-2017 21:46:46    Alarm Start           Motion Detect, Channel 3
0278    17-04-2017 21:46:46    Alarm Stop            Motion Detect, Channel 3
0279    17-04-2017 21:46:48    Alarm Start           Motion Detect, Channel 3
0280    17-04-2017 21:46:49    Alarm Stop            Motion Detect, Channel 3
0281    17-04-2017 21:46:49    Alarm Stop            Motion Detect, Channel 2
0282    17-04-2017 21:53:52    Alarm Start           Motion Detect, Channel 4
0283    17-04-2017 21:53:52    Alarm Stop            Motion Detect, Channel 4
0284    17-04-2017 21:54:04    Alarm Start           Motion Detect, Channel 4
0285    17-04-2017 21:54:04    Alarm Stop            Motion Detect, Channel 4
0286    17-04-2017 21:54:06    Alarm Start           Motion Detect, Channel 4
0287    17-04-2017 21:54:06    Alarm Stop            Motion Detect, Channel 4
0288    17-04-2017 21:54:09    Alarm Start           Motion Detect, Channel 4
0289    17-04-2017 21:54:10    Alarm Stop            Motion Detect, Channel 4
0290    17-04-2017 21:54:12    Alarm Start           Motion Detect, Channel 4
0291    17-04-2017 21:54:13    Alarm Stop            Motion Detect, Channel 4
0292    17-04-2017 21:54:28    Alarm Start           Motion Detect, Channel 4
0293    17-04-2017 21:54:28    Alarm Stop            Motion Detect, Channel 4
0294    17-04-2017 21:54:55    Alarm Start           Motion Detect, Channel 4
0295    17-04-2017 21:54:55    Alarm Stop            Motion Detect, Channel 4
0296    17-04-2017 21:55:28    Alarm Start           Motion Detect, Channel 4
0297    17-04-2017 21:55:29    Alarm Stop            Motion Detect, Channel 4
0298    17-04-2017 21:55:52    Alarm Start           Motion Detect, Channel 4
0299    17-04-2017 21:55:53    Alarm Stop            Motion Detect, Channel 4
0300    17-04-2017 21:55:58    Alarm Start           Motion Detect, Channel 4
0301    17-04-2017 21:55:58    Alarm Stop            Motion Detect, Channel 4
0302    17-04-2017 21:56:03    Alarm Start           Motion Detect, Channel 4
0303    17-04-2017 21:56:04    Alarm Stop            Motion Detect, Channel 4
0304    17-04-2017 21:56:22    Alarm Start           Motion Detect, Channel 4
0305    17-04-2017 21:56:22    Alarm Stop            Motion Detect, Channel 4
0306    17-04-2017 21:56:52    Alarm Start           Motion Detect, Channel 4
0307    17-04-2017 21:56:52    Alarm Stop            Motion Detect, Channel 4
0308    17-04-2017 21:57:33    Alarm Start           Motion Detect, Channel 4
0309    17-04-2017 21:57:33    Alarm Stop            Motion Detect, Channel 4
0310    17-04-2017 21:57:40    Alarm Start           Motion Detect, Channel 4
0311    17-04-2017 21:57:40    Alarm Stop            Motion Detect, Channel 4
0312    17-04-2017 21:57:49    Alarm Start           Motion Detect, Channel 4
0313    17-04-2017 21:57:49    Alarm Stop            Motion Detect, Channel 4
0314    17-04-2017 21:58:07    Alarm Start           Motion Detect, Channel 4
0315    17-04-2017 21:58:08    Alarm Stop            Motion Detect, Channel 4
0316    17-04-2017 21:58:15    Alarm Start           Motion Detect, Channel 4
0317    17-04-2017 21:58:15    Alarm Stop            Motion Detect, Channel 4
0318    17-04-2017 21:58:32    Alarm Start           Motion Detect, Channel 4
0319    17-04-2017 21:58:32    Alarm Stop            Motion Detect, Channel 4
0320    17-04-2017 21:58:43    Alarm Start           Motion Detect, Channel 4
0321    17-04-2017 21:58:43    Alarm Stop            Motion Detect, Channel 4
0322    17-04-2017 21:59:09    Alarm Start           Motion Detect, Channel 4
0323    17-04-2017 21:59:09    Alarm Stop            Motion Detect, Channel 4
0324    17-04-2017 21:59:11    Alarm Start           Motion Detect, Channel 4
0325    17-04-2017 21:59:12    Alarm Stop            Motion Detect, Channel 4
0326    17-04-2017 21:59:15    Alarm Start           Motion Detect, Channel 4
0327    17-04-2017 21:59:15    Alarm Stop            Motion Detect, Channel 4
0328    17-04-2017 21:59:19    Alarm Start           Motion Detect, Channel 4
0329    17-04-2017 21:59:19    Alarm Stop            Motion Detect, Channel 4
0330    17-04-2017 21:59:24    Alarm Start           Motion Detect, Channel 4
0331    17-04-2017 21:59:25    Alarm Stop            Motion Detect, Channel 4
0332    17-04-2017 21:59:29    Alarm Start           Motion Detect, Channel 4
0333    17-04-2017 21:59:30    Alarm Stop            Motion Detect, Channel 4
0334    17-04-2017 21:59:36    Alarm Start           Motion Detect, Channel 4
0335    17-04-2017 21:59:36    Alarm Stop            Motion Detect, Channel 4
0336    17-04-2017 21:59:41    Alarm Start           Motion Detect, Channel 4
0337    17-04-2017 21:59:41    Alarm Stop            Motion Detect, Channel 4
0338    17-04-2017 21:59:44    Alarm Start           Motion Detect, Channel 4
0339    17-04-2017 21:59:44    Alarm Stop            Motion Detect, Channel 4
0340    17-04-2017 21:59:53    Alarm Start           Motion Detect, Channel 4
0341    17-04-2017 21:59:54    Alarm Stop            Motion Detect, Channel 4
0342    17-04-2017 22:00:12    Alarm Start           Motion Detect, Channel 4
0343    17-04-2017 22:00:12    Alarm Stop            Motion Detect, Channel 4
0344    17-04-2017 22:00:15    Alarm Start           Motion Detect, Channel 4
0345    17-04-2017 22:00:15    Alarm Stop            Motion Detect, Channel 4
0346    17-04-2017 22:00:21    Alarm Start           Motion Detect, Channel 4
0347    17-04-2017 22:00:22    Alarm Stop            Motion Detect, Channel 4
0348    17-04-2017 22:00:35    Alarm Start           Motion Detect, Channel 4
0349    17-04-2017 22:00:35    Alarm Stop            Motion Detect, Channel 4
0350    17-04-2017 22:00:38    Alarm Start           Motion Detect, Channel 4
0351    17-04-2017 22:00:38    Alarm Stop            Motion Detect, Channel 4
0352    17-04-2017 22:00:57    Alarm Start           Motion Detect, Channel 4
0353    17-04-2017 22:00:58    Alarm Stop            Motion Detect, Channel 4
0354    17-04-2017 22:01:00    Alarm Start           Motion Detect, Channel 4
0355    17-04-2017 22:01:00    Alarm Stop            Motion Detect, Channel 4
0356    17-04-2017 22:01:08    Alarm Start           Motion Detect, Channel 4
0357    17-04-2017 22:01:09    Alarm Stop            Motion Detect, Channel 4
0358    17-04-2017 22:01:25    Alarm Start           Motion Detect, Channel 4
0359    17-04-2017 22:01:25    Alarm Stop            Motion Detect, Channel 4
0360    17-04-2017 22:01:36    Alarm Start           Motion Detect, Channel 4
0361    17-04-2017 22:01:36    Alarm Stop            Motion Detect, Channel 4
0362    17-04-2017 22:01:38    Alarm Start           Motion Detect, Channel 4
0363    17-04-2017 22:01:38    Alarm Stop            Motion Detect, Channel 4
0364    17-04-2017 22:01:59    Alarm Start           Motion Detect, Channel 4
0365    17-04-2017 22:02:00    Alarm Stop            Motion Detect, Channel 4
0366    17-04-2017 22:02:37    Alarm Start           Motion Detect, Channel 4
0367    17-04-2017 22:02:37    Alarm Stop            Motion Detect, Channel 4
0368    17-04-2017 22:02:43    Alarm Start           Motion Detect, Channel 4
0369    17-04-2017 22:02:44    Alarm Stop            Motion Detect, Channel 4
0370    17-04-2017 22:02:49    Alarm Start           Motion Detect, Channel 4
0371    17-04-2017 22:02:50    Alarm Stop            Motion Detect, Channel 4
0372    17-04-2017 22:02:56    Alarm Start           Motion Detect, Channel 4
0373    17-04-2017 22:02:56    Alarm Stop            Motion Detect, Channel 4
0374    17-04-2017 22:03:03    Alarm Start           Motion Detect, Channel 4
0375    17-04-2017 22:03:03    Alarm Stop            Motion Detect, Channel 4
0376    17-04-2017 22:03:05    Alarm Start           Motion Detect, Channel 4
0377    17-04-2017 22:03:06    Alarm Stop            Motion Detect, Channel 4
0378    17-04-2017 22:03:12    Alarm Start           Motion Detect, Channel 4
0379    17-04-2017 22:03:13    Alarm Stop            Motion Detect, Channel 4
0380    17-04-2017 22:03:15    Alarm Start           Motion Detect, Channel 4
0381    17-04-2017 22:03:15    Alarm Stop            Motion Detect, Channel 4
0382    17-04-2017 22:03:19    Alarm Start           Motion Detect, Channel 4
0383    17-04-2017 22:03:19    Alarm Stop            Motion Detect, Channel 4
0384    17-04-2017 22:03:30    Alarm Start           Motion Detect, Channel 4
